00) Zip,01) City,02) State,03) Household median income in dollars,04) Household mean income in dollars,05) Total population 18 to 24 years,06) Percentage of 05) less than high school,07) Percentage of 05) high school,08) Percentage of 05) some college,09) Percentage of 05) bachelor's,10) Total population 25 years and over,11) Percentage of 10)less than 9th grade,12) Percentage of 10) 9th to 12th no diploma,13) Percentage of 10) high school,14) Percentage of 10) some college,15) Percentage of 10) associate's degree,16) Percentage of 10) bachelor's,17) Percentage of 10) graduate degree,18) Total population 25 to 34 years,19) Percentage of 18) high school or higher,20) Percentage of 18) bachelor's or higher,21) Total population 35 to 44 years,22) Percentage of 21) high school or higher,23) Percentage of 21) bachelor's or higher,24) Total population 45 to 64 years,25) Percentage of 24) high school or higher,26) Percentage of 24) bachelor's or higher,27) Total population 65 and over,28) Percentage of 27) high school or higher,29) Percentage of 27) bachelor's or higher,"30) Median earnings in dollars, population 25 and over","31) Median earnings in dollars, population 25 and over less than high school","32) Median earnings in dollars, population 25 and over high school","33) Median earnings in dollars, population 25 and over some college","34) Median earnings in dollars, population 25 and over bachelor's","35) Median earnings in dollars, population 25 and over graduate degree",36) Population total,37) Population percentage: not Hispanic,38) Population percentage: not Hispanic white,39) Population percentage: not Hispanic black,40) Population percentage: not Hispanic American Indian or native,41) Population percentage: not Hispanic Asian,42) Population percentage: not Hispanic native Hawaiian or Pacific islander,43) Population percentage: not Hispanic some other race,44) Population percentage: not Hispanic two or more races,45) Population percentage: not Hispanic two or more races including some other race,46) Population percentage: not Hispanic two or more races excluding some other race,47) Population percentage: Hispanic,48) Population percentage: Hispanic white,49) Population percentage: Hispanic black,50) Population percentage: Hispanic American Indian or native,51) Population percentage: Hispanic Asian,52) Population percentage: Hispanic native Hawaiian or Pacific islander,53) Population percentage: Hispanic some other race,54) Population percentage: Hispanic two or more races,55) Population percentage: Hispanic two or more races including some other race,56) Population percentage: Hispanic two or more races excluding some other race,57) Population total,58) Population percentage: under 5 years,59) Population percentage: 5 to 9 years,60) Population percentage: 10 to 14 years,61) Population percentage: 15 to 19 years,62) Population percentage: 20 to 24 years,63) Population percentage: 25 to 29 years,64) Population percentage: 30 to 34 years,65) Population percentage: 35 to 39 years,66) Population percentage: 40 to 44 years,67) Population percentage: 45 to 49 years,68) Population percentage: 50 to 54 years,69) Population percentage: 55 to 59 years,70) Population percentage: 60 to 64 years,71) Population percentage: 65 to 69 years,72) Population percentage: 70 to 74 years,73) Population percentage: 75 to 79 years,74) Population percentage: 80 to 84 years,75) Population percentage: 85 years and over,76) Population percentage: 5 to 14 years,77) Population percentage: 15 to 17 years,78) Population percentage: 18 to 24 years,79) Population percentage: 15 to 44 years,80) Population percentage: 16 years and over,81) Population percentage: 18 years and over,82) Population percentage: 60 years and over,83) Population percentage: 62 years and over,84) Population percentage: 65 years and over,85) Population percentage: 75 years and over,86) Median age,87) Sex ratio (males per 100 females),88) Age dependency ratio,89) Old-age dependency ratio,90) Child dependency ratio,91) Licenses,92) Manufacturing,93) Gun purchases approximate,VIOLENT?
29634,CLEMSON,SC,3333,3594,5458,0,0.219860755,99.59692195,0.183217296,14,0,0,92.85714286,0,0,7.142857143,0,1,100,100,0,0,0,13,100,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,5502,98.63685932,84.8782261,10.14176663,0,2.490003635,0,0.272628135,0.854234824,0.036350418,0.817884406,1.363140676,0.36350418,0.327153762,0,0.145401672,0,0.527081061,0,0,0,5502,0,0,0,77,22.8,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.5,99.2,99.8,100,99.5,0,0,0,0,19.4,81.6,0.5,0,0.5,186,4744,285.5542706,1
913,SAN JUAN,PR,6989,18967,1050,11.61904762,48.19047619,37.71428571,2.476190476,4378,15.78346277,9.639104614,37.36866149,10.0045683,8.291457286,10.62128826,8.291457286,1009,81.0703667,17.74033697,920,83.91304348,19.56521739,1632,72.85539216,16.78921569,817,59.48592411,23.86780906,17640,11450,9864,15368,30841,43529,8333,1.092043682,1.092043682,0,0,0,0,0,0,0,0,98.90795632,55.67022681,12.78051122,0.984039362,0,0,21.97287892,7.500300012,0.28801152,7.212288492,8333,10.5,10.3,7,10.9,8.8,6.7,5.4,4.5,6.6,4.2,5.9,4.9,4.6,4.2,1.2,1.7,1,1.7,17.3,7.1,12.6,42.8,68.7,65.1,14.4,12.6,9.8,4.4,27.1,66.6,80.7,17.7,63,58,24,40.7886853,0
66506,MANHATTAN,KS,7167,8223,3499,0.200057159,9.088310946,90.56873392,0.142897971,7,0,0,0,71.42857143,0,0,28.57142857,7,100,28.57142857,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,3513,94.93310561,82.46512952,3.501280956,0,5.892399658,0.341588386,0,2.732707088,0,2.732707088,5.066894392,4.63990891,0,0.426985482,0,0,0,0,0,0,3513,0,0,0,77.4,22.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,99.6,100,100,99.8,0,0,0,0,19.3,93,0.2,0,0.2,0,0,216.8277514,0
64147,KANSAS CITY,MO,7895,9796,240,9.583333333,25.83333333,61.25,3.333333333,118,9.322033898,8.474576271,38.13559322,33.05084746,0,11.01694915,0,93,77.41935484,13.97849462,0,0,0,25,100,0,0,0,0,10400,NaN,NaN,8385,NaN,NaN,639,94.67918623,35.8372457,56.96400626,0,0.625978091,0,0,1.251956182,0,1.251956182,5.320813772,0,0,0,0,0,0.469483568,4.851330203,1.251956182,3.599374022,639,27.7,10.5,5.8,14.6,23,7.4,7.2,0,0,3.9,0,0,0,0,0,0,0,0,16.3,0,37.6,52.1,56,56,0,0,0,0,19.3,54.7,78.5,NaN,78.5,0,0,58.07172905,0
631,CASTANER,PR,7948,13710,114,33.33333333,21.92982456,22.80701754,21.92982456,1284,27.80373832,15.49844237,21.72897196,14.56386293,4.595015576,14.95327103,0.856697819,301,74.41860465,26.57807309,162,100,24.07407407,411,58.15085158,10.2189781,410,25.12195122,10.24390244,13333,NaN,6979,16842,24605,NaN,1689,0.53285968,0.53285968,0,0,0,0,0,0,0,0,99.46714032,72.58732978,0,0,0,0,26.87981054,0,0,0,1689,5.4,5,3.7,4.3,5.6,10.2,7.6,3.6,6,5.4,7,3.6,8.3,7.2,4.9,5,4.9,2.3,8.6,3.1,6.7,37.3,85.4,82.8,32.6,30.6,24.3,12.1,43.8,94.1,71,41.5,29.5,0,0,8.267381431,0
59863,RAVALLI,MT,8681,16200,0,0,0,0,0,40,0,42.5,20,37.5,0,0,0,0,0,0,8,100,0,32,46.875,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,40,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,20,0,17.5,42.5,20,0,0,0,0,0,0,0,0,20,100,100,20,20,0,0,56.7,166.7,NaN,NaN,NaN,0,53,4.26471065,0
44503,YOUNGSTOWN,OH,8775,14410,203,47.29064039,33.00492611,19.7044335,0,809,1.977750309,15.82200247,48.57849197,20.02472188,6.922126082,4.326328801,2.348578492,213,80.28169014,8.920187793,130,63.07692308,0,295,96.94915254,11.86440678,171,73.68421053,0,8250,NaN,8125,NaN,NaN,NaN,1035,93.62318841,38.16425121,54.7826087,0,0,0,0,0.676328502,0,0.676328502,6.376811594,2.512077295,2.415458937,0,0,0,0.676328502,0.77294686,0.77294686,0,1035,0,1.5,0,7,13.3,11.1,9.5,7.1,5.4,7,4.6,10.6,6.3,8.9,7,0.7,0,0,1.5,0.7,19.6,53.4,98.5,97.8,22.8,19.1,16.5,0.7,40.2,205.3,23.1,20.3,2.7,0,0,65.65832436,0
15929,DILLTOWN,PA,8889,12381,0,0,0,0,0,61,22.95081967,42.62295082,22.95081967,0,11.47540984,0,0,0,0,0,0,0,0,43,48.8372093,0,18,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,69,0,0,11.6,0,0,0,0,0,0,20.3,0,42,0,0,0,5.8,0,20.3,11.6,0,0,0,88.4,88.4,26.1,26.1,26.1,26.1,55.5,115.6,60.5,41.9,0,17,0,1
31810,GENEVA,GA,9063,31939,6,0,0,100,0,179,2.793296089,6.145251397,50.27932961,15.6424581,17.87709497,7.262569832,0,13,100,0,14,100,50,103,99.02912621,0,49,69.3877551,12.24489796,NaN,NaN,6923,35139,NaN,NaN,198,100,39.39393939,58.58585859,2.02020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,4.5,1,1.5,2.5,6.6,0,2.5,4.5,11.1,4,21.7,15.2,4.5,11.1,3,2.5,3.5,5.6,1,3,17.7,94.4,93.4,39.9,34.3,24.7,9.1,59.2,147.5,45.6,36,9.6,0,0,7.262653267,0
44702,CANTON,OH,9455,16738,33,9.090909091,30.3030303,60.60606061,0,912,1.864035088,25.10964912,40.89912281,16.3377193,9.320175439,2.631578947,3.837719298,115,80,11.30434783,72,70.83333333,2.777777778,389,78.14910026,6.426735219,336,65.17857143,5.654761905,8667,NaN,NaN,NaN,NaN,NaN,964,96.99170124,60.37344398,34.43983402,0,0,0,0,2.178423237,0,2.178423237,3.008298755,1.970954357,0.829875519,0,0,0,0,0.20746888,0,0.20746888,964,0.6,1,0,0.9,2.8,6.3,5.6,2.9,4.6,12.8,5.8,11.6,10.2,6.5,2.4,6.8,5.3,13.8,1,0.3,3.4,23.1,98,98,45,38.2,34.9,25.9,58.7,131.2,58.3,55.2,3.1,0,0,61.15422675,0
