00) Zip,01) City,02) State,03) Household median income in dollars,04) Household mean income in dollars,05) Total population 18 to 24 years,06) Percentage of 05) less than high school,07) Percentage of 05) high school,08) Percentage of 05) some college,09) Percentage of 05) bachelor's,10) Total population 25 years and over,11) Percentage of 10)less than 9th grade,12) Percentage of 10) 9th to 12th no diploma,13) Percentage of 10) high school,14) Percentage of 10) some college,15) Percentage of 10) associate's degree,16) Percentage of 10) bachelor's,17) Percentage of 10) graduate degree,18) Total population 25 to 34 years,19) Percentage of 18) high school or higher,20) Percentage of 18) bachelor's or higher,21) Total population 35 to 44 years,22) Percentage of 21) high school or higher,23) Percentage of 21) bachelor's or higher,24) Total population 45 to 64 years,25) Percentage of 24) high school or higher,26) Percentage of 24) bachelor's or higher,27) Total population 65 and over,28) Percentage of 27) high school or higher,29) Percentage of 27) bachelor's or higher,"30) Median earnings in dollars, population 25 and over","31) Median earnings in dollars, population 25 and over less than high school","32) Median earnings in dollars, population 25 and over high school","33) Median earnings in dollars, population 25 and over some college","34) Median earnings in dollars, population 25 and over bachelor's","35) Median earnings in dollars, population 25 and over graduate degree",36) Population total,37) Population percentage: not Hispanic,38) Population percentage: not Hispanic white,39) Population percentage: not Hispanic black,40) Population percentage: not Hispanic American Indian or native,41) Population percentage: not Hispanic Asian,42) Population percentage: not Hispanic native Hawaiian or Pacific islander,43) Population percentage: not Hispanic some other race,44) Population percentage: not Hispanic two or more races,45) Population percentage: not Hispanic two or more races including some other race,46) Population percentage: not Hispanic two or more races excluding some other race,47) Population percentage: Hispanic,48) Population percentage: Hispanic white,49) Population percentage: Hispanic black,50) Population percentage: Hispanic American Indian or native,51) Population percentage: Hispanic Asian,52) Population percentage: Hispanic native Hawaiian or Pacific islander,53) Population percentage: Hispanic some other race,54) Population percentage: Hispanic two or more races,55) Population percentage: Hispanic two or more races including some other race,56) Population percentage: Hispanic two or more races excluding some other race,57) Population total,58) Population percentage: under 5 years,59) Population percentage: 5 to 9 years,60) Population percentage: 10 to 14 years,61) Population percentage: 15 to 19 years,62) Population percentage: 20 to 24 years,63) Population percentage: 25 to 29 years,64) Population percentage: 30 to 34 years,65) Population percentage: 35 to 39 years,66) Population percentage: 40 to 44 years,67) Population percentage: 45 to 49 years,68) Population percentage: 50 to 54 years,69) Population percentage: 55 to 59 years,70) Population percentage: 60 to 64 years,71) Population percentage: 65 to 69 years,72) Population percentage: 70 to 74 years,73) Population percentage: 75 to 79 years,74) Population percentage: 80 to 84 years,75) Population percentage: 85 years and over,76) Population percentage: 5 to 14 years,77) Population percentage: 15 to 17 years,78) Population percentage: 18 to 24 years,79) Population percentage: 15 to 44 years,80) Population percentage: 16 years and over,81) Population percentage: 18 years and over,82) Population percentage: 60 years and over,83) Population percentage: 62 years and over,84) Population percentage: 65 years and over,85) Population percentage: 75 years and over,86) Median age,87) Sex ratio (males per 100 females),88) Age dependency ratio,89) Old-age dependency ratio,90) Child dependency ratio,91) Licenses,92) Manufacturing,93) Gun purchases approximate,VIOLENT?
25534,KIAHSVILLE,WV,9544,21745,0,0,0,0,0,244,18.03278689,47.95081967,22.95081967,6.967213115,4.098360656,0,0,19,52.63157895,0,49,57.14285714,0,104,31.73076923,0,72,16.66666667,0,40129,NaN,NaN,NaN,NaN,NaN,318,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,7.5,12.3,3.5,0,0,2.8,3.1,12.3,3.1,0,22.6,3.1,6.9,11.6,0,4.1,3.8,3.1,15.7,0,0,21.4,76.7,76.7,29.6,29.6,22.6,11,52.1,80.7,84.9,41.9,43,0,3,34.6527664,1
44308,AKRON,OH,9775,28660,310,3.548387097,9.677419355,82.58064516,4.193548387,612,2.941176471,17.32026144,37.74509804,22.38562092,2.777777778,9.477124183,7.352941176,108,92.59259259,52.77777778,104,73.07692308,5.769230769,320,79.6875,5.3125,80,71.25,28.75,9041,NaN,8750,7891,NaN,31528,963,93.7694704,65.73208723,19.73001038,0,0.726895119,0,0,7.580477674,0,7.580477674,6.230529595,3.426791277,1.453790239,0,0,0,0,1.349948079,0.62305296,0.726895119,963,0,0,0,20.9,15.6,8.2,3,3.9,6.9,4.7,16.4,8,4.2,3,1.1,1.6,1.2,1.3,0,4.3,32.2,58.5,100,95.7,12.5,10.2,8.3,4.2,38.1,122.4,14.4,9.5,4.9,0,0,61.09078875,0
24846,ISABAN,WV,10000,20828,11,0,100,0,0,94,45.74468085,14.89361702,39.36170213,0,0,0,0,0,0,0,6,0,0,78,47.43589744,0,10,0,0,NaN,NaN,NaN,NaN,NaN,NaN,105,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,10.5,0,0,5.7,0,0,17.1,35.2,21.9,9.5,0,0,0,0,0,0,10.5,16.2,100,100,31.4,17.1,9.5,0,59.1,94.4,10.5,10.5,NaN,0,0,11.44195117,1
97920,WESTFALL,OR,10036,21436,5,0,40,60,0,159,1.257861635,0,28.93081761,31.44654088,2.51572327,3.144654088,32.70440252,0,0,0,62,100,83.87096774,88,100,5.681818182,9,77.77777778,0,NaN,NaN,6536,6284,NaN,NaN,165,96.96969697,96.96969697,0,0,0,0,0,0,0,0,3.03030303,3.03030303,0,0,0,0,0,0,0,0,165,0,0,0,1.2,2.4,0,0,3,34.5,3,0.6,24.2,25.5,3,0,0,1.8,0.6,0,0.6,3,41.2,100,99.4,30.9,5.5,5.5,2.4,58.2,200,6.5,5.8,0.6,0,0,14.66444716,0
32970,WABASSO,FL,10069,10727,0,0,0,0,0,130,0,0,47.69230769,31.53846154,0,0,20.76923077,68,100,39.70588235,0,0,0,23,100,0,39,100,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,285,6.7,47.7,0,0,0,23.9,0,0,0,3.2,0,0,4.9,13.7,0,0,0,0,47.7,0,0,23.9,45.6,45.6,18.6,13.7,13.7,0,8.8,58.3,213.2,42.9,0,0,0,0
925,SAN JUAN,PR,10247,20955,2232,4.704301075,11.78315412,72.62544803,10.88709677,4151,21.24789207,13.41845338,17.75475789,13.153457,6.432185016,18.06793544,9.9253192,993,86.3041289,50.05035247,881,55.1645857,31.55505108,1564,64.45012788,18.47826087,713,50.63113604,13.74474053,12923,6171,9754,14844,21125,36149,6924,4.896013865,2.469670711,0.462160601,0,1.097631427,0,0.447718082,0.418833044,0,0.418833044,95.10398614,54.59272097,12.81051415,0.173310225,2.195262854,0,19.36741768,5.964760254,0.794338533,5.170421722,6924,2.5,1.7,2,11.7,22.2,8.1,6.2,5,7.7,6.2,6.9,5.1,4.4,3.8,2,2.7,1,0.8,3.7,1.6,32.2,60.9,93.5,92.2,14.7,13.1,10.3,4.5,31.6,107.9,22.1,12.6,9.5,58,24,33.89185851,0
62523,DECATUR,IL,10268,14962,183,56.83060109,27.86885246,15.30054645,0,897,4.793756968,21.40468227,37.0122631,28.65105909,6.911928651,1.226309922,0,299,63.5451505,3.678929766,221,73.30316742,0,292,87.67123288,0,85,63.52941176,0,10823,NaN,NaN,12036,NaN,NaN,1284,95.7165109,52.25856698,31.46417445,0,0,0,0.700934579,11.29283489,0,11.29283489,4.283489097,3.348909657,0.934579439,0,0,0,0,0,0,0,1284,8,6.1,1.8,2.4,11.8,12.7,10.6,7.2,10,4.8,4.8,8.1,5.1,2.3,2.3,0,2,0,7.9,0,14.3,54.8,84.1,84.1,11.8,8.6,6.6,2,32.7,206.4,29,8.5,20.5,0,0,60.63688301,0
45203,CINCINNATI,OH,10511,24625,403,33.49875931,42.67990074,22.3325062,1.488833747,1355,2.804428044,16.97416974,39.55719557,15.20295203,4.132841328,9.594095941,11.73431734,371,85.17520216,17.52021563,166,95.18072289,18.07228916,513,82.45614035,24.56140351,305,62.29508197,22.29508197,26382,NaN,13526,34527,57813,79375,2340,98.97435897,14.82905983,81.41025641,0,0,0,0,2.735042735,1.196581197,1.538461538,1.025641026,0.512820513,0.512820513,0,0,0,0,0,0,0,2340,13.5,3.2,5.4,6.7,13.3,6.4,9.5,2.9,4.1,5,4.7,7.1,5.1,4.9,1.3,2.2,3.2,1.5,8.6,2.8,17.2,42.9,76.5,75.1,18.1,16,13,6.9,31.6,88,61,21,40.1,310,2229,148.4449072,1
694,VEGA BAJA,PR,10550,10551,0,0,0,0,0,66,56.06060606,0,0,21.21212121,22.72727273,0,0,0,0,0,0,0,0,15,100,0,51,27.45098039,0,NaN,NaN,NaN,NaN,NaN,NaN,66,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,22.7,0,62.1,0,15.2,0,0,0,0,0,100,100,100,100,77.3,15.2,70.7,164,340,340,NaN,56,12,0.32305931,0
16501,ERIE,PA,10631,14433,316,0.316455696,4.430379747,27.53164557,67.72151899,1626,10.45510455,23.18573186,29.15129151,18.4501845,3.81303813,9.225092251,5.719557196,215,83.72093023,34.88372093,103,99.02912621,18.44660194,698,59.59885387,11.31805158,610,62.45901639,11.47540984,7083,NaN,NaN,NaN,6625,NaN,2150,96.51162791,61.20930233,23.25581395,0,3.255813953,0,0,8.790697674,0,8.790697674,3.488372093,1.581395349,0.325581395,0,0,0,1.023255814,0.558139535,0,0.558139535,2150,1.2,2.3,3.5,4.1,13.3,5.6,4.4,2.4,2.4,5.9,10.8,11.1,4.7,6.7,9.6,4.2,2.9,5,5.8,2.7,14.7,32.2,92,90.3,33.1,31.3,28.4,12.1,53.1,102.8,61.4,45.8,15.6,122,6,148.072431,0
97414,BROADBENT,OR,10756,13072,86,0,20.93023256,79.06976744,0,207,0,12.07729469,34.7826087,6.280193237,7.729468599,39.13043478,0,78,100,48.71794872,0,0,0,69,63.76811594,0,60,100,71.66666667,12928,NaN,NaN,NaN,NaN,NaN,338,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,13.3,0,5.3,20.1,23.1,0,0,0,4.7,4.4,11.2,0,17.8,0,0,0,0,13.3,0,25.4,48.5,86.7,86.7,17.8,17.8,17.8,0,29,279.8,45.1,25.8,19.3,50,1143,30.03989783,0
40939,FOURMILE,KY,10881,10423,0,0,0,0,0,165,50.90909091,7.878787879,41.21212121,0,0,0,0,0,0,0,0,0,0,56,0,0,109,62.3853211,0,NaN,NaN,NaN,NaN,NaN,NaN,165,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,26.1,0,7.9,54.5,0,11.5,0,0,0,0,0,0,100,100,73.9,66.1,66.1,11.5,67.4,194.6,194.6,194.6,NaN,0,3,10.78058605,0
65715,NOBLE,MO,11319,26835,0,0,0,0,0,26,7.692307692,69.23076923,3.846153846,0,0,11.53846154,7.692307692,0,0,0,5,100,100,3,33.33333333,0,18,0,0,NaN,NaN,NaN,NaN,NaN,NaN,34,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5.9,5.9,11.8,0,0,0,0,14.7,0,0,5.9,0,2.9,0,0,52.9,0,0,17.6,0,0,14.7,76.5,76.5,55.9,55.9,52.9,52.9,79.1,36,325,225,100,0,6,3.089888557,1
86540,NAZLINI,AZ,11384,24463,106,18.86792453,27.35849057,50.94339623,2.830188679,547,23.76599634,13.71115174,34.91773309,17.73308958,5.667276051,3.65630713,0.548446069,102,86.2745098,4.901960784,81,88.88888889,12.34567901,226,65.92920354,3.539823009,138,23.91304348,0,27344,NaN,26250,24432,43750,NaN,982,99.79633401,0,0,98.87983707,0,0,0,0.916496945,0,0.916496945,0.203665988,0,0,0.203665988,0,0,0,0,0,0,982,10.7,7.2,9.4,10.7,6.3,5.2,5.2,5.1,3.2,4.5,9.9,3.7,5,4.8,2.5,2.2,2.2,2.2,16.6,6.2,10.8,35.6,70.6,66.5,19,16.2,14.1,6.7,30.3,87,90.7,26.8,63.9,0,0,46.56405404,0
601,ADJUNTAS,PR,11507,19571,1783,19.29332586,14.97476164,57.87997757,7.851934941,11887,24.05148482,12.85437873,25.11146631,14.21721208,5.081181122,15.52115757,3.163119374,2225,84.62921348,29.88764045,2081,71.5521384,24.26717924,4767,64.82064191,15.48143486,2814,36.8869936,11.12295665,16533,11522,15606,13561,22859,36771,17800,0.202247191,0.157303371,0,0.04494382,0,0,0,0,0,0,99.79775281,80.94382022,0.606741573,0.073033708,0,0,17.11235955,1.061797753,0.146067416,0.915730337,17800,5.3,6.1,7.4,7.3,7.2,6.5,6,6.3,5.4,6.6,7,7.1,6.1,5.5,4,2.9,2,1.5,13.4,4.5,10,38.7,79.6,76.8,21.9,19.3,15.8,6.3,38.6,95.7,64,25.9,38,0,12,87.12811692,0
717,PONCE,PR,11597,22022,2505,3.113772455,31.21756487,59.04191617,6.626746507,11312,13.52545969,7.399222065,30.41902405,12.27899576,9.688826025,17.89250354,8.795968883,2194,85.50592525,27.21057429,1821,83.25096101,24.05271829,3916,84.60163432,30.05617978,3381,66.25258799,23.86867791,16441,15838,9589,15430,22563,29966,17958,1.269629135,0.684931507,0.178193563,0,0.406504065,0,0,0,0,0,98.73037087,76.95177637,4.861343134,0.122508074,0,0,3.196347032,13.59839626,0.540149237,13.05824702,17958,5,7.1,6.4,8.7,9.8,6.7,5.5,5.5,4.6,4.5,6.2,4.9,6.1,4.8,4.1,3.6,2.8,3.5,13.5,4.5,13.9,40.8,80.1,76.9,25,22.6,18.8,9.9,35.6,76.7,72.1,32.4,39.7,55,12,87.90150133,0
606,MARICAO,PR,11648,15582,657,15.67732116,41.24809741,33.94216134,9.132420091,4381,30.26706231,15.11070532,35.44852773,4.747774481,4.702122803,7.966217759,1.757589591,658,81.1550152,10.63829787,808,70.04950495,19.18316832,1843,50.02712968,5.371676614,1072,34.60820896,9.514925373,10861,6116,12798,13690,14466,NaN,6320,0.174050633,0.174050633,0,0,0,0,0,0,0,0,99.82594937,58.98734177,2.768987342,0,0,0,35.53797468,2.53164557,1.21835443,1.313291139,6320,5.2,4.5,6.3,7.4,7.2,4.9,5.5,4.1,8.7,7.1,7.8,5,9.3,5.4,4.9,2.9,1.3,2.5,10.9,4.2,10.4,37.8,81.6,79.7,26.3,22.7,17,6.7,42.4,98.6,59.4,27,32.3,0,0,30.93537634,0
6702,WATERBURY,CT,11755,18965,321,24.92211838,46.72897196,28.34890966,0,2303,24.18584455,23.23056882,34.17281806,8.467216674,2.08423795,6.165870604,1.693443335,307,72.31270358,23.45276873,318,54.71698113,0,802,55.61097257,8.229426434,876,42.12328767,4.908675799,23068,13650,32308,33080,NaN,NaN,3057,49.42754334,28.49198561,17.76251227,0,2.355250245,0,0,0.817795224,0.523388943,0.294406281,50.57245666,37.16061498,1.831861302,0.490677134,0,0,10.99116781,0.098135427,0.098135427,0,3057,3.5,1.9,5,6.1,8.2,5.8,4.2,4.9,5.5,6.7,5.9,5.8,7.8,8.5,6.3,3.9,3.8,6.1,6.9,3.8,10.5,34.7,89.4,85.8,36.5,30.9,28.7,13.8,49.1,116.2,74.9,50.1,24.8,0,0,155.727877,0
26325,AUBURN,WV,11786,20348,8,0,12.5,62.5,25,226,15.92920354,24.77876106,27.43362832,20.79646018,2.654867257,7.522123894,0.884955752,77,54.54545455,2.597402597,9,100,0,79,77.21518987,0,61,36.06557377,27.86885246,NaN,NaN,35417,NaN,NaN,NaN,293,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,9.2,7.2,2.7,1.4,2.4,17.4,8.9,0,3.1,3.1,4.1,11.9,7.8,6.8,2.7,7.5,3.8,0,9.9,1,2.7,33.1,79.9,79.9,28.7,28.3,20.8,11.3,40.4,56.7,69.4,35.3,34.1,0,0,31.92849231,0
44115,CLEVELAND,OH,11899,31608,1675,15.94029851,14.26865672,52.17910448,17.6119403,3587,3.791469194,16.72706997,21.91246167,25.03484806,7.192640089,12.54530248,12.79620853,1528,87.30366492,39.33246073,577,77.98960139,27.20970537,1218,79.39244663,11.24794745,264,37.87878788,5.303030303,23578,6143,16630,15685,59141,55769,7652,98.27496079,22.39937271,69.05384213,0.457396759,3.332462101,0,0.470465238,2.56142185,0,2.56142185,1.725039205,1.045478306,0.287506534,0.130684788,0,0,0.261369577,0,0,0,7652,13.9,10.2,4.7,9.1,15.3,11.5,8.5,3.8,3.7,3.2,4.5,5.2,3.1,1.8,0.7,0.6,0.2,0.2,14.9,2.5,21.9,51.9,70.6,68.8,6.5,5.4,3.5,1,24,80.9,53.1,5.3,47.8,0,0,485.4275343,0
35477,PANOLA,AL,11932,23361,35,0,0,100,0,86,6.976744186,24.41860465,54.65116279,9.302325581,0,0,4.651162791,0,0,0,55,100,0,5,0,0,26,15.38461538,15.38461538,NaN,NaN,14333,NaN,NaN,NaN,210,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,14.3,0,17.1,20,7.6,0,0,9,17.1,2.4,0,0,0,1.9,0,0,10.5,0,17.1,11,16.7,53.8,68.6,57.6,12.4,12.4,12.4,10.5,19.8,116.5,121.1,27.4,93.7,0,0,13.69389309,1
37402,CHATTANOOGA,TN,11958,25366,542,28.41328413,42.43542435,24.72324723,4.42804428,2603,10.75681905,21.129466,30.34959662,18.6707645,1.459854015,12.06300423,5.570495582,764,78.53403141,31.54450262,341,57.18475073,15.83577713,976,73.56557377,12.60245902,522,49.80842912,7.85440613,17730,16667,12014,15806,46964,NaN,3878,99.09747292,30.6343476,66.34863332,0,1.289324394,0,0,0.825167612,0,0.825167612,0.902527076,0.618875709,0,0,0,0,0.077359464,0.206291903,0,0.206291903,3878,7.6,4.7,3.5,7,10.2,10.4,9.3,5,3.8,3.1,6.7,8.5,6.9,3.7,3.6,2.7,1.5,2,8.2,3.2,14,45.6,83.5,81.1,20.3,17.4,13.5,6.2,33.8,102.1,47.8,19.9,27.9,187,217,358.3426585,1
